	sentiment	review
4716	1	"COPPA: HOMER Learning adheres to the Children's Online Privacy Protection Act (“COPPA”). COPPA is a law in the United States that regulates the way in which online Websites may collect and use information from children. We do not collect or use information in a manner that is inconsistent with the COPPA. In fact, as stated fully below, no personal information is required from you to visit our Sites. For more information on the COPPA please visit Children's Online Privacy Protection Rule (""COPPA"") or consult this simple one-page informational guide from the kidSAFE Seal Program. "
1876	0	Any requests to exercise your rights should be made through our support feature located in our apps (by going to the particular app -> click on three dots (or more) -> click help (or support) -> and then click Contact us (or +) and place your request). Any requests regarding our game(s) available on Facebook should be made through the embedded support feature by going to the game -> click on the settings icon -> click help and place your request. You can also send us an email at privacy@easybrain.com, however we may still redirect you to make the same request through the in-app support feature or we may request additional information in order to accommodate your request. These requests can be exercised free of charge and will be addressed by us as early as possible and always within one month. You may also contact your local data protection authority within the European Economic Area for unresolved complaints.
4583	0	Designated representative and contact information: Activemind.legal Rechtsanwaltgesellschaft m.b.h. Potsdamer Straße 3 80802 München, Germany Tel. 089-41856017-0 Data Protection Officer and contact information: Aphaia Eagle House 163 City Road, London, EC1V 1NR
3489	1	Kids Privacy Assured by PRIVO: COPPA Safe Harbor Certification
4342	0	When you delete the information from our services, we may not immediately delete the corresponding information in the backup system, but will delete such information when the backup is updated.
6	1	B. Parental Access
5339	0	If you do not accept the changes introduced to the Privacy Policy, regardless of sending an e-mail to us, it will be incumbent upon us to ask you to immediately cease using our Services. We are asking for your understanding and please bear in mind that such resources are needed for the proper functioning of our Services, and that each User is subject to the same rules.
3989	0	We may disclose your personal information to any member of our group, which means our subsidiaries, our ultimate holding company and its subsidiaries, as defined in section 1159 of the UK Companies Act 2006.
707	0	identify and fix bugs and service errors
5463	1	access the chat, leaderboard, forums, SNS (Facebook, Game Center, etc)
2027	0	information about your activities through the third party
600	1	In September 2013, California enacted amendments to the California Online Privacy Protection Act (California Business & Professions Code §§22575-22579) which require operators of websites to disclose how they respond to “do not track” (DNT) signals from browsers used by consumers or other mechanisms that provide consumers a choice regarding the collection of personally identifiable information about the consumer’s online activities over time and across different websites or online services. While some newer browsers have incorporated “Do Not Track” features which, when turned on, send a signal or preference to the web sites you visit indicating that you do not wish your online activity to be tracked, a DNT protocol that can be implemented across multiple devices and sites has not yet been widely adopted. Currently, our computer system does not support, and cannot act on DNT signal headers that we may receive; accordingly, the choices that we provide you concerning out collection and use of personally identifiable information will continue to operate as described in this policy.
4136	0	We retain your Personal Data as long as we have an ongoing legitimate business need to do so for example to provide services or products to you, or as required or permitted by applicable laws, such as tax and accounting laws. When we have no ongoing legitimate business need to process your Personal Data, we will either delete or anonymise it or, if this is not possible (for example, because your Personal Data has been stored in backup archives), then we will securely store your Personal Data and isolate it from any further processing until deletion is possible.
2511	0	To send you marketing communications
3093	0	Cookies are files with a small amount of data that are commonly used as anonymous unique identifiers. These are sent to your browser from the websites that you visit and are stored on your device's internal memory.
5232	1	Do we let third-parties, including ad networks or plug-ins collect PII from children under 13?
946	0	6.1. We may  transfer and maintain on our servers or databases some of your personal information outside the European Economic Area (EEA) including in Russia.
2804	0	Any third-party platform that you use to access the Services may also retain backup copies of your information even after your account is deleted or terminated and may use them subject to their policies.
3440	0	If you have any questions about this Privacy Policy, please contact us at help@hakuna.live. Any personally identifiable information provided in connection with inquiries related to this Privacy Policy will be used solely for the purpose of responding to the inquiry and consistent with our Privacy Policy.
4799	1	As noted in the Terms of Use, we do not knowingly collect or solicit personal information from anyone under the age of 13. If you are under 13, please do not attempt to register for the Services or send any personal information about yourself to us. If we learn that we have collected personal information from a child under age 13, we will delete that information as quickly as possible. If you believe that a child under 13 may have provided us personal information, please contact us at support@inkitt.com.
1594	1	If you are under 15 years of age or a minor in your country of residence, please ask your legal guardian’s permission to use or access the Services. Magic Seven takes children’s privacy seriously, and encourages parents and/or guardians to play an active role in their children's online experience at all times. Magic Seven does not knowingly collect any personal information from children below the aforementioned age and if Magic Seven learns that Magic Seven has inadvertently gathered personal data from children under the aforementioned age, Magic Seven will take reasonable measures to promptly erase such personal data from Magic Seven’s records.
1186	1	Protecting the privacy of young children is especially important. HOMER Learning takes special care to ensure the privacy of users who are children under the age of 13. For that reason, we do not knowingly collect or maintain personally identifiable information from persons under 13 years of age without the express authorization of a parent or guardian.
850	1	"If you are in the EEA the data controller of your personal information is Alibaba.com Singapore E-Commerce Private Limited (incorporated in Singapore with Company Reg. No. 200720572D). For contact details, please see section H. ""HOW TO CONTACT US"" below. "
1021	0	Alexey Grigorkin built the Sandbox app as a Commercial app. This SERVICE is provided by Alexey Grigorkin and is intended for use as is.
1308	1	"We encourage parents to visit the GetNetWise.org site and look through the ""Kids Safety"" section together. Your efforts to instill responsible information practices will help steer your children to age-appropriate sites and will go a long way toward ensuring that your children have enriching experiences online."
434	1	This Kids Apps Privacy Policy is appointed to provide the legal guardian of a child under the age of 13 with guidance regarding our privacy policies that concern collecting, using and disclosing personal information of children under 13.
1193	1	The Services are not directed to children under 13 years of age, and imo does not knowingly collect Personally Identifiable Information from children under 13 years of age. If you learn that your child has provided us with personal information without your consent, you may delete your child’s entire account, by selecting the “Delete imo account” option in your child’s imo app settings or alert us at privacy@imo.im. If we learn that we have collected any personal information from children under 13 (and in certain jurisdictions under the age of 16), we will promptly take steps to delete such information and terminate the child’s account.
4759	0	Provide support and assistance for the Services
3058	0	We may ask advertisers or other partners to serve ads or services to your devices, which may use cookies or similar technologies placed by us or the third party.
3749	0	"We and our marketing and outsourcing partners, affiliates, or analytics service providers use technologies such as cookies, beacons, scripts, and tags to identify a user's computer/device and to ""remember"" things about your visit, such as your preferences or a user name and password.  Information contained in a cookie may be linked to your personal information, such as your user ID, for purposes such as improving the quality of our Services, tailoring recommendations to your interests, and making the Service easier to use.  You can disable cookies at any time, although you may not be able to access or use features of the Service."
1292	1	8.3. Under California law, California residents who have an established business relationship with us have the right to request certain information with respect to the types of personal information we have shared with third parties for their direct marketing purposes, and the identities of those third parties, within the immediately preceding calendar year, subject to certain exceptions. All requests for such information must be in writing and sent to: Nordeus Limited, 3rd Floor, Kilmore House, Park Lane, Spencer Dock, Dublin 1, Ireland. This same California law permits us to provide you, in response to your written request, with a cost-free means to choose not to have your information shared rather than providing the above described information.  You may exercise that choice by contacting us at the address above.
811	0	When you use any of DianDian Services via your social media account, such as Facebook, Wechat or Google (where our games may also be referred to as “applications”), you allow DianDian to access certain information from your profile on that site. The information we receive from you will depend on your social media privacy settings. You can control and find out more about these settings at the social network services where you play our games. DianDian may access and store some or all of the following basic information, such as:Your profile picture or its URL
1027	0	We generally retain your personal information for as long as is necessary for the performance of the contract between you and us and to comply with our legal obligations. If you no longer want us to use your information that we physically access and store, you can request that we erase your personal information and close your account.
3052	1	(a) If you are located outside of the United States of America this Agreement shall be governed by and construed in accordance with the laws of Sweden, without giving effect to any principles of conflicts of law, and the parties hereby consent to the sole and exclusive jurisdiction of the courts of Sweden, with the district court of Umeå (Umeå Tingsrätt) as first venue, to resolve any disputes arising out of or relating to this Agreement.
230	0	This Privacy Policy covers HOLLA's treatment of Personal Information that we collect while you are using the App and the Service. This policy does not apply to the practices of third parties that HOLLA does not own or control, including but not limited to third party services you access through HOLLA, the App or the Service, or to individuals that HOLLA does not employ or manage. As our Service integrates with third party sites, such as Facebook, and other sites and social networks, we assume that you are already aware of the privacy policies of those other sites and networks when using our App and/or our Service and when you allow us to interact with these sites and networks on your behalf.
5344	1	The Service is not geared toward children under the age of 13 and we do not knowingly collect personal information from children under the age of 13. If we learn that a child under 13 has provided us with personal information we will delete such information from our files as quickly as possible. 
266	0	This Privacy Policy explains how your personal data is collected and processed by “Alexadra Games” when you use the Drifty Car mobile application (the “App”).
5110	0	Personal information collected by Magic Seven is information voluntarily provided to us by you when you create your account or change your account 
1361	0	Outsourcing of processing to foreign third-party service poviders (i.e., cross-border transfer of personal data):Recipient Country where personal data is transferred Date, time and method of transfer Items of personal data that are transferred Purpose of use; retention/use period
3534	1	LIKE has zero tolerance to any form of child abuse or exploitation. Your data (including private messages) may be shared with law enforcement agencies if we have reasonable grounds to believe that you have engaged in child pornography, or if we are requested to do so by law enforcement agencies.
901	0	• Personal Information You Choose to Give Us
4147	0	• to other users of the Applications and Services in any post you make in any public forum offered by us or through the Applications; and
2288	1	If you are a parent of a child who is under 13 years of age (or under another age specified by applicable regulations) and believe your child has provided us with information, please contact us at  support@ngames.mobi  and we will delete the information from our system.
498	1	To obtain this information from us, please send an email message to support@betterme.tips which includes “Request for California Privacy Information” on the subject line and your state of residence and email address in the body of your message. If you are a California resident, we will provide the requested information to you at your email address in response.
689	1	These Services do not address anyone under the age of 13. I do not knowingly collect personally identifiable information from children under 13. In the case I discover that a child under 13 has provided me with personal information, I immediately delete this from our servers. If you are a parent or guardian and you are aware that your child has provided us with personal information, please contact me so that I will be able to do necessary actions.
1338	1	"This Privacy Policy covers our treatment of personally identifiable information (""Personal Data"") that we gather when you are accessing or using our Services, but not to the practices of companies we don’t own or control, or people that we don’t manage. We gather various types of Personal Data from our users, as explained in more detail below, and we use this Personal Data internally in connection with our Services, including to personalize, provide, and improve our services, to allow you to set up a user account and profile, to contact you and allow other users to contact you, to fulfill your requests for certain products and services, and to analyze how you use the Services. In certain cases, we may also share some Personal Data with third parties, but only as described below."
1528	1	We do not knowingly process personal data from persons under 16 years of age. If you learn that anyone younger than 16 has provided us with personal data, please contact us at support@get-headway.com.
5380	0	We process Personal Data for the purposes set out in this Privacy Policy, as described above. Our legal basis to process personal data includes processing that is: necessary for the performance of the contract with you (for example, to provide you with the services you request and to identify and authenticate you so you may use the Sites); necessary to comply with legal requirements (for example, to comply with applicable accounting rules and to make mandatory disclosures to law enforcement); necessary for our legitimate interests (for example, to manage our relationship with you, to ensure the security of our services, to communicate with you about our products and services); and based on consent by our customers (for example, to place certain cookies and to share your information with third parties for advertising purposes).
2234	0	Wuma uses servers hosted in the United States. Please note that we may be transferring your information outside of your region for storage and processing in the United States and around the globe. By using the Services you consent to the transfer of information to countries outside of your country of residence, including the United States, which may have data protection rules that are different from those of your country.
4572	1	For Users in the EEA, where we transfer your information to a third party provider that is not located in the EEA, and is not subject to an adequacy decision by the EU Commission, we will require those third party providers to enter into an agreement that provides appropriate safeguards for your information. From time to time we may also seek your consent to transfer your information to a third country outside the EEA.
1041	1	Like many other things in life, parents and guardians have control over how children use Canva. We donﾡﾯt want children to upload personal information and weﾡﾯll delete that information if we learn about it.
37	1	We do not collect information from children under 13
2854	1	Under California Civil Code Sections 1798.83-1798.84, California residents are entitled to contact us to prevent disclosure of Personal Data to third parties for such third parties' direct marketing purposes; in order to submit such a request, please contact us at legal@aminoapps.com.
3870	1	Our services are not intended for—and we don’t direct them to—anyone under 13. And that’s why we do not knowingly collect personal information from anyone under 13. If we need to rely on consent as a legal basis for processing your information and your country requires consent from a parent, we may require your parent’s consent before we collect and use that information.
2407	1	Parents can review the personal information we have collected from their child and request them to be deleted.  Parents can also revoke their previously provided consent to collection or use of the child’s information.  If you are a parent and wish to review, modify, or delete your child’s personal information, or withdraw consent, you can submit a request to our Privacy Administrator at the address, e-mail address or telephone number provided below.
4100	1	As used herein, the “child” or “children” means under the age of 13, and the term “parent” includes legal guardians.
3266	1	Under California law, California residents who have an established business relationship with us have the right to request certain information with respect to the types of personal information we have shared with third parties for their direct marketing purposes, and the identities of those third parties, within the immediately preceding calendar year, subject to certain exceptions. All requests for such information must be in writing and sent to: Nordeus Limited, 3rd Floor, Kilmore House, Park Lane, Spencer Dock, Dublin 1, Ireland. This same California law permits us to provide you, in response to your written request, with a cost-free means to choose not to have your information shared rather than providing the above described information.  You may exercise that choice by contacting us at the address above.
2115	0	Under certain circumstances, Aeria Canada Studio Inc. may be required to disclose your Personal Data if required to do so by law or in response to valid requests by public authorities (e.g. a court or a government agency).
3838	1	If a child states that his/her age is under 13, we will seek consent from the child’s parent before collecting personal information from the child; except we may collect and use certain information from the child for limited purposes without obtaining parental consent where permitted to do so by law. 
444	1	California Civil Code Section 1798.83 permits registered Account Holders of Camsurf that are California residents to request certain information regarding our disclosure of personal information to third parties, or to change privacy settings to the extent they are available. You may opt-out of communications, or request privacy related changes by contacting us at Privacy@Camsurf.com.
2380	1	When using the persistent identifiers we will not contact users under the age of 13, display behavioral advertising to them, nor do any user tracking or profiling. In addition, we strive that all of our advertising partners adhere to the same standards for the collection, usage and disclosure of children’s personal information as we do, but we can not be responsible if they breach the commitments they gave to us regarding the collection of information. In case of such breaches you agree that our liability is limited to the amounts we are able to receive as indemnification for the breaches from our advertising partner. For the detailed information about disclosure to third parties please see section How do we share your information and data to third parties of this Privacy Policy. For any additional questions about third party information disclosure please refer to privacy@outfit7.com.
3149	0	Trials of Heroes may use collected personal data for purposes of analyzing usage of the Services, providing customer and technical support, managing and providing Services (including managing advertisement serving) and to further develop the Services and other Trials of Heroes services and products. Trials of Heroes may combine non-personal data with personal data.
1184	1	We ensure that we comply with the applicable law and regulation regarding children's online privacy protection, and does not knowingly collect personal information about users directed to children under the age of thirteen (13). If you are in the EEA, our Services are not directed to children under 16 and we do not knowingly collect personal information from children under 16. If a parent or guardian becomes aware that his or her child has provided us with information without their consent, he or she should promptly contact us and we take reasonable steps to ensure that such information is deleted from our files.
877	1	We do not knowingly collect personally identifiable information from anyone under the age of 18. If you are a parent or guardian and you are aware that your child has provided us with Personal Data, please contact us. If we become aware that we have collected Personal Data from children without verification of parental consent, we take steps to remove that information from our servers.
