	sentiment	review
2627	0	• When you visit our websites, we may collect device-specific information, such as the unique mobile ID, hardware model, operating system version, browser type, language, internet service providers and mobile network names. We only use it to provide and improve the website, troubleshoot, and perform analytics.
1902	0	4.2 We have an industry-leading data security management system addressing the data lifecycle with data at the core, and improve the security of the whole system in multiple dimensions ranging from organizational development, system design, personnel management, product technology and other aspects.
3440	1	If you have any questions about this Privacy Policy, please contact us at help@hakuna.live. Any personally identifiable information provided in connection with inquiries related to this Privacy Policy will be used solely for the purpose of responding to the inquiry and consistent with our Privacy Policy.
3808	1	If you have any questions or concerns about our use of your personal information, please contact us at:The data controller of your personal information is A Thinking Ape Entertainment Ltd.© 2017–2018 A Thinking Ape Entertainment Ltd.
2683	0	Contact you for administrative and informational purposes. This may include providing customer service or sending communications, including changes to our terms, conditions, and policies.
29	1	If you’d like to learn more about AppLovin, please visit the Privacy Policy page of AppLovin: https://www.applovin.com/privacy
1823	0	Information about your active status or presence on our Products.
1518	1	Email: privacy@roosterteeth.com
2007	1	If there are any questions regarding this privacy policy you may contact us using the information below. We love hearing your voice. Let’s contact us and stay connected! Email address: init.dream.sp@gmail.com
1345	1	If you have any questions regarding privacy while using the DVloper (DVapps AB) Applications, or have questions about our practices, please contact us via email at dvloper.apps@gmail.com .
9	0	We will store your personal data for as long as it is reasonably necessary for achieving the purposes set forth in this Privacy Policy (including providing the Service to you), which includes (but is not limited to) the period during which you have an account with the App. We will also retain and use your personal data as necessary to comply with our legal obligations, resolve disputes, and enforce our agreements.
3306	0	Almost all of our apps do not require users to submit any of their personal information except some of our photo editing apps that may require the user to submit their photos for applying various photo effect filters. However, when you play/use the game/app, some of the third parties we use such as advertisement networks, advertisement mediation companies, data analytic service providers etc. may collect some, or all of the following information:Your device identifier and IP address;Demographic information (such as country);Information collected through various technologies;Other information that we receive from you, e.g. information exchanged with us on our social media channels for the Game/App;How you play/use the Game/App (frequency, device, platform, level etc.);Information you post on the Community of the Game/App.
5212	0	At Wuma, we stand behind our commitment to user privacy and security. When you access our websites and use our best-in-class VPN products, you’ll share some information with us, which we use to provide and improve our products, send notifications and updates, troubleshoot, and to support our free product through advertising. Our goal is to be upfront about what we collect, how we use it, and whom we share it with, and that’s why we’ve written this Privacy Policy. This Privacy Policy also tells you about your rights and choices with respect to your information, and how you can contact us if you have any questions or concerns. Below is a snapshot of some of our important privacy practices, but please read the full Policy for more detail. If you have any questions about anything in this Policy.
3946	1	If you have any questions or comments about this Privacy Policy, please contact us at privacypolicy@kwalee.com
866	1	If you have any questions about this Privacy Policy, please contact us:By email: privacy@aeriacanada.com
5416	1	If you have any questions or comments about this Policy, please contact us at info@samharris.org.
4827	1	If you have any questions regarding privacy while using the Application, or have questions about our practices, please contact us via email: solovpn.co@gmail.com
4042	1	Krasnoarmeyskaya 64, Ulyanovsk, 432011, Russian Federation
2286	1	In compliance with the Privacy Shield Principles, Narvii commits to resolve complaints about your privacy and our collection or use of your personal information transferred to the United States pursuant to Privacy Shield. European Union individuals with Privacy Shield inquiries or complaints should first contact Narvii at:legal@aminoapps.com
2311	1	You can contact us online or by mail at:
1417	0	By using the Services, you hereby consent to this Privacy Policy.
2306	0	We take precautions — including administrative, technical, and physical measures — to safeguard your information against loss, theft, and misuse, as well as against unauthorized access, disclosure, alteration, and destruction. We use firewalls, encryption technology and Network access designed to protect against fraud and identity theft; our data is only stored in centers that provide high-level security for your data. We also protect your privacy by seeking to minimize the amount of sensitive data. We also seek appropriate contractual protection from our partners regarding their treatment of your information. Please be aware, however, that no method of transmitting information over the Internet or storing information is completely secure. Accordingly, we cannot guarantee the absolute security of any information.
525	1	If you have any questions about this Privacy Policy, please contact us at ferroentertainment@gmail.com
5012	0	Right to File Complaint:  You have the right to lodge a complaint about Company’s practices with respect to your Personal Data with the supervisory authority of your country or EU Member State.
3689	1	If you have any questions about this Policy, please contact us at support@crazymaplestudio.com
131	0	To personalize our ads
2629	1	GREEN PANDA GAMES - 48 rue Sarrette - 75685 PARIS CEDEX 14 SAS with a capital of 1,000 € - SIRET: 791889330 00019
5005	1	For more details and frequently asked questions about our policies, read our Security, Privacy and GDPR FAQs
