	sentiment	review
3458	1	We store data for as long as it is necessary to provide our Games and products to you and others, including those described above. Information associated with your account will be kept until your account is deleted, unless we no longer need the data to provide products and services.
4124	0	We want to inform users of this Service that these third parties have access to your Personal Information. The reason is to perform the tasks assigned to them on our behalf. However, they are obligated not to disclose or use the information for any other purpose.
1881	1	Uber may also retain certain information if necessary for its legitimate business interests, such as fraud prevention and enhancing users' safety and security. For example, if Uber shuts down a user's account because of unsafe behavior or security incidents, Uber may retain certain information about that account to prevent that user from opening a new Uber account in the future.
464	1	We retain your Personal Data as long as we have an ongoing legitimate business need to do so for example to provide services or products to you, or as required or permitted by applicable laws, such as tax and accounting laws.
2477	0	Ubisoft collects personal information via internet forms. For example, a new user to any of the Services may be asked to register by providing his or her name, date of birth or age, phone number, and home address. This information will then be associated with your Account, so that you may identify yourself during future visits to each of the Services. Ubisoft also stores and maintains personal information that you submit to us in an e-mail or that you post on our bulletin board.
1422	1	We take measures to delete your Personal Information or keep it in a form that does not allow you to be identified when this information is no longer necessary for the purposes for which we process it, unless we are required by law to keep this information for a longer period. When determining the retention period, we take into account various criteria, such as the type of products and services requested by or provided to you, the nature and length of our relationship with you, possible re-enrollment with our products or services, the impact on the services we provide to you if we delete some information from or about you, mandatory retention periods provided by law and the statute of limitations.
503	0	Advertising identifiers for mobile devices: Android Advertising ID or Advertising Identifier for iOS.
1874	1	7.3. We may remove your account, or the information you post as provided by the Terms.
4197	1	Our correspondence with our support team will be kept longer so that we can use it for any subsequent requests that may arise. Such correspondence deleted after 3 years in the absence of requests.
9	1	We will store your personal data for as long as it is reasonably necessary for achieving the purposes set forth in this Privacy Policy (including providing the Service to you), which includes (but is not limited to) the period during which you have an account with the App. We will also retain and use your personal data as necessary to comply with our legal obligations, resolve disputes, and enforce our agreements.
1135	0	The Services contain links to third party websites and applications. When you click on a link to any other website or location, you will leave the Site and go to another site and another entity may collect Personal Data, Anonymous Data, and/or Aggregated Data from you. We have no control over, do not review, and cannot be responsible for, these outside websites or their content. We are not responsible for the privacy practices or the content of such websites or applications. You may wish to review the privacy policies of those websites and applications before use. The links to such websites or locations are for your convenience and do not signify our endorsement of such third parties or their products, content or websites.
5087	1	We will hold your personal information on our systems for as long as is necessary for the relevant service, or as otherwise described in this Privacy Policy.
1740	0	Methods for destroying personal data of inactive accounts
