,doc_id,doc_name,par_id,par,label,par_length
0,0,legal.ubi.com.txt,0,UBISOFT PRIVACY POLICY,Other,22
1,0,legal.ubi.com.txt,1,UBISOFT PRIVACY POLICY,Other,22
2,0,legal.ubi.com.txt,2,Last revised: January 12th 2016,Policy Change,31
3,0,legal.ubi.com.txt,3,Your personal information.,Other,26
4,0,legal.ubi.com.txt,4,"Ubisoft collects your personal information when you register with us for our products, use the Ubisoft websites, videogames, mobile applications, online store or other services (""Services"") or otherwise contact us online. We use this personal information to: provide you the products or Services you have requested; create your user profile; to send you information about our products or Services and your registration; when you agree, to send you marketing information; and to respond to your correspondence.",Introductory/Generic,509
5,0,legal.ubi.com.txt,5,Privacy Policy.,Other,15
6,0,legal.ubi.com.txt,6,"Ubisoft Ltd, Ubisoft Entertainment SA, Ubisoft EMEA SAS, Ubisoft, Inc., Ubisoft Mobile Games, Red Storm Entertainment, Inc., Blue Byte GmbH are part of the same group of companies (together, ""Ubisoft"" or ""we""). We respect the privacy rights of our customers and are committed to protecting the personal information collected about you. We have adopted this Privacy Policy to explain how we collect, store, and use the information you provide us. By using the Ubisoft Services, you signify your assent to the terms of the Privacy Policy. If you do not agree to this Privacy Policy, please do not use the Services. We reserve the right to make changes in this Privacy Policy, so please check back from time to time to ensure you are aware of any changes. Your continued use of the Services will signify your acceptance of these changes.",Introductory/Generic,834
7,0,legal.ubi.com.txt,7,"The data controller of the data collected in respect to this Privacy Policy is Ubisoft EMEA SAS, 28 rue Armand Carrel, 93108, Montreuil-sous-Bois, France.",Other,154
8,0,legal.ubi.com.txt,8,Table of content :When does Ubisoft collect your personal information?,Other,70
9,0,legal.ubi.com.txt,9,What personal information does Ubisoft collect?,Other,47
10,0,legal.ubi.com.txt,10,What happens if I refuse to provide my personal information?,Other,60
11,0,legal.ubi.com.txt,11,What about other websites?,Other,26
12,0,legal.ubi.com.txt,12,Does Ubisoft make my personal information public? Who can see my personal information?,Other,86
13,0,legal.ubi.com.txt,13,"Does Ubisoft Use Cookies, Track IP Addresses or Use Other Passive Means to Collect Information?",Other,95
14,0,legal.ubi.com.txt,14,Who is collecting my personal information and how will it be used?,Other,66
15,0,legal.ubi.com.txt,15,With whom does Ubisoft share my personal information?,Other,53
16,0,legal.ubi.com.txt,16,Can I choose how my personal information is used?,Other,49
17,0,legal.ubi.com.txt,17,How do I access my personal information?,Other,40
18,0,legal.ubi.com.txt,18,Does Ubisoft Collect Personal Information from Children Under 12?,Other,65
19,0,legal.ubi.com.txt,19,What Safeguards Does Ubisoft Use to Protect My Personal Information?,Other,68
20,0,legal.ubi.com.txt,20,How do I contact Ubisoft about my personal information?,Other,55
21,0,legal.ubi.com.txt,21,Privacy Policy and Terms of Use,Other,31
22,0,legal.ubi.com.txt,22,1. When does Ubisoft collect your personal information?,First Party Collection,55
23,0,legal.ubi.com.txt,23,"Ubisoft collects your personal information at different times when you interact with our Services, including when you buy our products, or otherwise contact us. Generally, personal information is collected when (a) you use a Service, (b) you create an Account, (c) you make a purchase within our Services, (d) you create user generated content, (e) you watch advertisements within our Services, (f) you sign up to a newsletter, (g) you contact Ubisoft customer service and during technical support sessions, (h) you enter into a contest or sweepstake, (i) you chat with other users of the Services, (j) you wish to participate in a beta or otherwise download a patch or a demo and (k) you share or otherwise contribute to our social media channels and other community websites.",First Party Collection,777
24,0,legal.ubi.com.txt,24,"Whatever the activity may be, we will only collect personal information to the extent deemed reasonably necessary to fulfil your requests and our legitimate business objectives.",First Party Collection,177
25,0,legal.ubi.com.txt,25,2. What personal information does Ubisoft collect?,First Party Collection,50
26,0,legal.ubi.com.txt,26,"To access certain Services, you will need a Ubisoft Account. During the creation of your Account, we will ask your nickname, password, email address, date of birth (or age) and country of origin. This information is mandatory to create an Account. On other Services, Ubisoft may ask you additional personal information relevant to the Service such as your phone number, home address or geo-location information (for example, you will be asked your home address when purchasing a product within our online shop, in order for Ubisoft to deliver the product to your home address). Visitors purchasing goods or services through our online store will need to provide a valid credit card number and expiration date, in addition to the credit card holder's name, date of birth, mailing address, phone number and e-mail address. In addition, we may collect demographic information such as your age, gender, favourite styles of gaming and the device you own or plan to buy. Note that Ubisoft does not collect nor store any credit or debit card or other banking data.",First Party Collection,1057
27,0,legal.ubi.com.txt,27,"Ubisoft collects personal information via internet forms. For example, a new user to any of the Services may be asked to register by providing his or her name, date of birth or age, phone number, and home address. This information will then be associated with your Account, so that you may identify yourself during future visits to each of the Services. Ubisoft also stores and maintains personal information that you submit to us in an e-mail or that you post on our bulletin board.",First Party Collection,483
28,0,legal.ubi.com.txt,28,"Ubisoft may also collect personal information on third party network, platform or service: by playing a Ubisoft game through a social network or other third party platform, or by connecting to such a third party network, platform or service via one of our products and/or Services, you are authorizing Ubisoft to (1) collect, store, and use, in accordance with this Privacy Policy, any and all personal information that you agreed the social network or other third party platform could provide to Ubisoft based on your settings on the third party social network or platform and (2) share any and all of your personal information with the social network or other third party platform, through the social network/third party platform’s Application Programming Interface (API).  Your agreement to this takes place when you connect with the third party network, platform or service via our products and/or services, and/or when you connect with, ""accept"" or ""allow"" (or similar terms) one of our applications through a social network, or other third party platform or service.",First Party Collection,1072
29,0,legal.ubi.com.txt,29,3. What happens if I refuse to provide my personal information?,Other,63
30,0,legal.ubi.com.txt,30,"If you do not submit personal information when asked by Ubisoft, your refusal may limit our ability to process your online product registration, Account creation, contest registration, purchase via our online store, or request for technical support.",User Control,249
31,0,legal.ubi.com.txt,31,4. What about other websites?,Other,29
32,0,legal.ubi.com.txt,32,"This Privacy Policy applies only to the Services on which this Privacy Policy is made available by Ubisoft and not to websites, networks or platforms maintained by other companies or organizations to which we may provide links. Please note, however, that when you link to foreign sites or any other third party sites from our Services, this Privacy Policy no longer applies. Ubisoft does not control the activities on those third party services and cannot and does not guarantee the security of any personal information disclosed on those third party services.",Links,560
33,0,legal.ubi.com.txt,33,5. Does Ubisoft make my personal information public? Who can see my personal information?,Other,89
