	sentiment	review
3285	1	We may transfer information that we collect about you to affiliated entities, or to other third parties across borders and from your country or jurisdiction to other countries or jurisdictions around the world.  If you are located in the United States, European Union or other regions with laws governing data collection and use that may differ from Israeli law, please note that you are transferring information, including personal information, to a country and jurisdiction that does not have the same data protection laws as your jurisdiction, and you consent to the transfer of information to Israel and the use and disclosure of information about you, including personal information, as described in this Policy.
3628	1	Trip.com is a global company that operates both inside and outside of the European Economic Area (the “EEA”). It also cooperates with third-party vendors located both inside and outside of the EEA. Therefore, Trip.com may transfer your personal information to countries outside of the EEA, including to countries which may not have in place laws that apply the same level of data protection as within the EEA. Whenever such transfer occurs, it is based on the Standard Contractual Clauses (according to EU Commission Decision 87/2010/EC or any future replacement) in order to provide your personal information a level of data protection that applies within the EEA. You can contact us at en_dataprotection@trip.com for further information.
2563	0	Certain parts of our Services may ask you to provide personal information voluntarily: for example, we may ask you to provide your contact details in order to register an account with us, to begin playing Games, to subscribe to marketing communications from us, and/or to submit enquiries to us. The personal information that you are asked to provide, and the reasons why you are asked to provide it, will be made clear to you at the point we ask you to provide your personal information.
3004	0	You have the right to request an explanation of the information that Uber has about you and how Uber uses that information.
5115	0	For security purposes. To prevent, detect, mitigate, and investigate fraud, security breaches or other potentially prohibited or illegal activities and/or attempts to harm our users
295	1	Personal data is transferred via certified entities under the Privacy Shield or, 
458	0	Our Privacy Policy link includes the word 'Privacy' and can easily be found on the page specified above.
3222	0	 Personalize Your Experience. We allow you to personalize your experience on our Services via social media plugins on our Services (e.g., Facebook, Google, Instagram, WhatsAppp, etc.), by keeping track of your preferences (e.g., nickname or display name, time zone, language preference, etc.), and more. Without such processing, you may not be able to access or personalize part or all of our Services.
3341	1	The APP and Services work over the Internet. We may store and process your information in various locations throughout the world. Where you located in the EEA, as required by law, you hereby provide us with your express consent to transfer your data to where may be outside of EEA once you use the Software and/or Services. You may withdraw your consent at any time.
20	1	You acknowledge that your information will be transferred outside of the European Economic Area, both to us and other members of our group. This includes, but is not limited to, Russia, Israel, Los Angeles USA, San Francisco USA, California USA and Georgia USA. Where we transfer your personal data outside of the EEA, we will put in place adequate measures to ensure that your information is kept secure (and such adequate measures shall include (without limitation): (i) transferring to a jurisdiction which the European Commission recognises as providing adequate protection for the rights and freedoms of data subjects in connection with the processing of their personal data; and (ii) transfers pursuant to standard contractual clauses in accordance with European Commission decisions on transferring personal data).
3138	1	We only transfer personal data to entities in third countries that have provided appropriate safeguards to ensure that their level of data protection is in agreement with this privacy policy and applicable law.
524	1	If you choose to use the Services or provide your information to us, your personal information may be transferred to, processed and maintained on servers or databases located outside of the country or jurisdiction where you are located. Such countries or jurisdictions may have data protection laws that are less protective than the laws of the jurisdiction in which you reside. If you do not want your information transferred to or processed or maintained outside of the country or jurisdiction where you are located, you should not use the Services.
2144	1	Your information may be stored and processed in any country in which we maintain facilities, including outside of Japan. In this regard, or for purposes of sharing or disclosing data as described in this Privacy Policy, we reserve the right to transfer information outside of your country. By using the Service, you consent to any such transfer of information outside of your country.
3621	0	We also may share (within our affiliated entities or with third parties) aggregated or anonymized information that does not explicitly identify you or any individual user of our Services. From time to time, the Company may provide demographic and statistical information to prospective partners for the purposes of securing advertising and/or for general promotion of the Service. This disclosure will not share any personal information of individual users but is intended to give a broad overview of the Service’s membership.
4008	1	The Software and the Services work over the Internet. We may store and process your information in various locations throughout the world. Where you located in the EEA, as required by law, you hereby provide us with your express consent to transfer your data to where may be outside of EEA once you use the Software and/or the Services. You may withdraw your consent at any time.
4239	1	Transfers of Personal Data: The Services are hosted and operated in Germany through Company and its service providers, and if you do not reside in Germany, laws in Germany may differ from the laws where you reside. By using the Services, you acknowledge that any Personal Data about you, regardless of whether provided by you or obtained from a third party, is being provided to Company in Germany and will be hosted on German servers, and you authorize Company to transfer, store and process your information to and in Germany, and possibly other countries.  You hereby consent to the transfer of your data to Germany pursuant to a data processing agreement incorporating standard data protection clauses promulgated by the EC, a copy of which can be obtained at https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32010D0087.
5228	1	If you are located in the EEA, we comply with EU data protection law when transferring your Personal Information outside of the EEA.
454	0	Third parties as part of a merger or acquisition
2531	1	In the event that Topface or any of our partners who own your data legally transfers business or changes ownership, for example, due to the takeover by another company or the merger, reorganization or sale of all or part of the assets, as well as in case of insolvency, we can be required to disclose your personal information.
2533	0	Personal Data
1563	0	Advertisers and other business partners
4207	0	o risk control service providers to assess the security of users’ accounts and transaction risks; and
4201	1	We try to make sure that the recipient of any personal data provides a proper protection of the personal data received, in accordance with the current legislation on the protection of such information. By using the App, you agree that we may transfer your personal data to any third country, a territory or one or more specified sectors within that third country, or to the international organization.
188	1	7. Transfer of Data Outside Your Territory.
980	0	Demographic data: We may collect demographic information about you, including through user surveys. In some countries, we may also receive demographic information about you from third parties.
1922	1	Your consent to this Privacy Policy followed by your submission of such information represents your agreement to that transfer.
574	0	withdraw your prior consent for your personal data to be processed. In this respect, you need to be aware of the fact that this request will be assessed and weighed against:our overriding interests;
4131	1	We predominantly use Amazon Web Services, which is certified under the EU – US Privacy Shield Framework, for our Services: https://aws.amazon.com/compliance/eu-us-privacy-shield-faq/
