	sentiment	review
7	1	Links. The Application can contain links to the third parties’ websites. If the User click these links he will leave the Application and Overmobile is not responsible for the content and safety of the User’s data when using the third parties’ websites. These websites may have their own privacy policies specifying collection and storage of the User’s data. This Policy doesn’t cover the data provided, kept or used by the third parties websites. The User is recommended when accessing the third party’s website to read a privacy policy of such third party which is related to his data storage.
3686	0	You may opt out of the use of the DoubleClick Cookie for interest-based advertising by visiting the Google Ads Settings web page: http://www.google.com/ads/preferences/
2722	0	We may disclose User Provided and Automatically Collected Information:as required by law, such as to comply with a subpoena, or similar legal process;when we believe in good faith that disclosure is necessary to protect our rights, protect your safety or the safety of others, investigate fraud, or respond to a government request;with our trusted services providers who work on our behalf, do not have an independent use of the information we disclose to them, and have agreed to adhere to the rules set forth in this privacy statement.
3057	0	Erasure: You can request that we erase some or all of your Personal Data from our systems.
3131	1	This Service may contain links to other sites. If you click on a third-party link, you will be directed to that site. Note that these external sites are not operated by us. Therefore, we strongly advise you to review the Privacy Policy of these websites. We have no control over and assume no responsibility for the content, privacy policies, or practices of any third-party sites or services.
3241	0	For Users in the European Union: what rights do you have related to the processing of your personal data?
265	1	On the websites and within the mobile applications of CXZH.LTD, there are many links to other companies or mobile applications, which have established cooperative relationships with us. CXZH.LTD assumes no responsibility for the privacy criteria adopted by our commercial copartners. We recommend that you read their privacy policies, which may involve different contents.
5441	0	As we develop our business, we may buy or sell assets or business offerings. Customers’ information is generally one of the transferred business assets in these types of transactions. We may also share such information with any affiliated entity (e.g. parent company or subsidiary) and may transfer such information in the course of a corporate transaction, such as the sale of our business, a divestiture, merger, consolidation, or asset sale, or in the unlikely event of bankruptcy.
4424	1	We do not include or offer third-party products or services on our website.
5	0	If the User does not agree to the applicability of the new version of the privacy policy of the LLC «WebmartGroup», the User will discontinue the usage of the LLC «WebmartGroup» and will be not allowed to use its Personal account without provision of an unambiguous consent to the applicability of the new version of the PRIVACY POLICY.
1904	0	15.1 If yours or your child’s personally identifiable information changes, or if you no longer desire our service, you may correct, update, delete inaccuracies or remove it by making the change on our member information page or by emailing us at cs.cxzh.ltd@gmail.com. We will respond to your request to access within 30 days.
4602	0	Remembering user preferences and settings
989	0	The security of your Information is important to us. We take commercially reasonable security measures, including administrative, technical, and physical safeguards, to protect your Information from loss, theft, misuse, and unauthorized access, disclosure, alteration, and destruction.
67	0	Resolve disputes
4055	1	The Services may provide links to other websites that we do not own or operate. This includes links from partners who may use our logo(s) as part of a co-branding agreement. To the extent that any linked websites are not part of the Services, we do not control, recommend or endorse and are not responsible for these websites or their content, products, services or privacy policies or practices. These other websites may send their own cookies to your Device, they may independently collect data or solicit Personal Information and may or may not have their own privacy notices or policies. You should also independently assess the authenticity of any website which appears or claims that it is one of our Services (including those linked to through an email or social networking page).
2687	1	"The Software and the Service may enable you use or access some service provided by third parties (""Third Party Services""). The use of such Third Party Services is subject to its privacy policy. You shall be aware that the use of the Third Party Services may give this third party the ability to access, collect, store, and/or share your information, both your PII and non-personally identifiable information. In order to clarify, we do not review, approve, monitor, endorse, warrant, or make any representations with respect to such Third Party Services and your access to any Third Party Services is at your own risk. We are not responsible for the information contained and/or made available through, the practices of, or your use or inability to use such Third Party Services. You expressly relieve us from any and all liabilities arising from your use of such Third Party Services. We recommended that you read the terms, conditions and privacy policy of such Third Party Services before using or accessing any of them."
2658	1	Links to privacy policies of third party service providers used by the app:Google Play ServicesAdMob
4671	1	The Services may contain links to sites operated by third parties. We are not responsible for your data privacy when you access these links or engage with third party services and you should ensure you review the relevant third party's privacy statement which will govern your data privacy rights.
4598	0	Enable features to personalize your Uber account, such as creating bookmarks for your favorite places, and to enable quick access to previous destinations.
2827	1	This Service may contain links to other sites. If you click on a third-party link, you will be directed to that site. Note that these external sites are not operated by me. Therefore, I strongly advise you to review the Privacy Policy of these websites. I have no control over and assume no responsibility for the content, privacy policies, or practices of any third-party sites or services.
2117	1	Crashlytics
4480	0	to send you marketing communications
4333	0	To comply with legal obligations
3484	1	In addition, you may get useful information and opt out of some interest-based advertising, by visiting the following links: Network Advertising Initiative – http://optout.networkadvertising.org/
1614	0	Personal information. We do not share your personal information with others except as indicated in this Privacy Policy or when we inform you and give you an opportunity to opt out of having your personal information shared. We may share personal information with:Service providers. From time to time, we may employ third party service providers to carry out certain features or functionalities of this service (including, but not limited to, moderation, technical support, or payment processing) these third parties will be required to handle all data and information according to these policies.
3940	0	Mimo applications for Android and iOS (“apps”), websites (“websites”), and related services (together with the apps and websites, the “services”) are operated by Mimohello GmbH, Schanzstraße 14/1.1, 1150 Vienna, Austria (thereafter “Mimo,” “us,” or “we”).
2982	0	• understand you and your preferences to enhance your experience and enjoyment using our service;
2763	0	Please note that despite our efforts, transfer of information on the Internet is never completely secure.
1811	1	LIKE may contain links to a third-party website. We cannot control the behaviors of such third-party website
24	1	We are not responsible for the practices employed by websites or services linked to or from the Service, including the information or content contained therein. Please remember that when you use a link to go from the Service to another website, our Privacy Policy does not apply to third-party websites or services. Your browsing and interaction on any third-party website or service, including those that have a link or advertisement on our website, are subject to that third partyﾡﾯs own rules and policies. In addition, you agree that we are not responsible for and we do not exercise control over any third-parties that you authorize to access your User Content. If you are using a third-party website or service (like Facebook) and you allow such a third-party access to your User Content you do so at your own risk. This Privacy Policy does not apply to information we collect by other means (including offline) or from other sources other than through the Service.
2535	1	UCWeb Service is connected to certain advertisement platforms including AdMob by Google, Facebook Audience Network, and Intowow ('Third Party Advertisers'). Information including device type and model, network provider, browser type, language, package name, keywords, version, operating system type, time and time zone, device IP address, network connection type and device GPS location (only if you provide permission), and your mobile advertising identifiers, such as your Apple IDFA or Google AAID, will be shared with the Third Party Advertisers.
1135	1	The Services contain links to third party websites and applications. When you click on a link to any other website or location, you will leave the Site and go to another site and another entity may collect Personal Data, Anonymous Data, and/or Aggregated Data from you. We have no control over, do not review, and cannot be responsible for, these outside websites or their content. We are not responsible for the privacy practices or the content of such websites or applications. You may wish to review the privacy policies of those websites and applications before use. The links to such websites or locations are for your convenience and do not signify our endorsement of such third parties or their products, content or websites.
3907	1	You acknowledge that third party services providers, or external services such as your app store (e.g., iTunes or Google Play) may collect certain information in connection with your use of the Service, such as Personal Information, Payment Information, Geolocational Information, and other usage-based data. We have no control over the collection of such information by a third-party app store, and any such collection or use will be subject to that third party’s applicable privacy policies.
