id	sentiment	review
0	1	OneNote also stores timestamps in the file, including the creation time and the last modified time.
1	0	If you are a resident of the European Union (“EU”), United Kingdom, Lichtenstein, Norway, or Iceland, you may have additional rights under the EU General Data Protection Regulation (the “GDPR”) with respect to your Personal Data, as outlined below.
2	0	LONG TECH NETWORK LIMITED has a parent's permission to share the information if user is a child under age 13. Parents have the option of allowing LONG TECH NETWORK LIMITED to collect and use their child's information without consenting to LONG TECH NETWORK LIMITED sharing of this information with people and companies who may use this information for their own purposes.
3	0	Our Privacy Policy may contain links to other sites that are not operated by us. If you click on a third-party link, you will be directed to that third party's site. We strongly advise you to review the privacy terms of every site you visit. We have no control over and assume no responsibility for the content, privacy terms or practices of any third-party sites or services.
4	1	It probably goes without saying, but we’ll say it anyway: When you contact HOLLA Support or communicate with us in any other way, we’ll collect whatever information you volunteer.
5	0	You can contact us through the customer service channel under [Settings-Feedback and Suggestions] on the left on Tantan, and we will respond to your request within 30 days.
6	1	We may have acces the following types of information: Information you provide – When you use our products, you may use integrated sevices such as google play service. please, note that by using thoses services you might exposed yourself to other users. Those service integrated to our games may ask you.personal information, such as your nickname, name or email. Please consider that the information we have acces to help us build a better gaming experience and improve the quality of our products.
7	0	We may also share your personal information with: Other companies owned by or under common ownership as Filmigo, which also includes our subsidiaries. These companies will use your personal information in the same way as we can under this Policy;
8	0	a. Information we share
9	0	We may engage third party service providers in the course of providing the Nordeus Services to you (e.g. data storage, server hosting, customer and technical support, game analytics, advertising etc) which may require them to access your information on our behalf. We will ensure there are appropriate contractual arrangements in place with any such third party service providers to protect your information. Those third parties may also collect some information directly from you (e.g. IP address, unique identifiers etc) subject to their own privacy policies.
10	0	If you have any questions about this Privacy Policy, please contact us:kiary@kiarygames.com
11	0	Generally:  We do provide some of our Services through contractual arrangement with affiliates, services providers, and other third parties (collectively, “Service Providers”).
12	0	We use third parties to help us operate and improve our Services. These third parties assist us with various tasks, including hosting and maintenance, on-going development, analytics, customer care, marketing, advertising. We may also share information with advertising partners who distribute advertising in our Services.
13	0	(Last Updated: June 2019 with effective date 17 June 2019)
14	0	We may provide aggregated or anonymized data to third parties, but when we do so, the information we share is in a de-identified format that does not personally identify you. 
15	1	What Personal Data Do We Collect From You? We collect Personal Data about you when you provide such information directly to us, when third parties such as our business partners or service providers provide us with Personal Data about you, or when Personal Data about you is automatically collected in connection with your use of our Services.
16	0	Your account is protected by a password for your privacy and security. If you access your account via a third party site or service, you may have additional or different sign-on protections via that third party site or service. You must prevent unauthorized access to your account and Personal Data by selecting and protecting your password and/or other sign-on mechanism appropriately and limiting access to your device by signing off after you have finished accessing your account.
17	0	When you choose to opt-out, advertising networks will consider this choice as a withdrawal of consent to personalized advertisement experience and they will show contextual advertisements and not personalized advertisements based on your interests.
18	0	We may update our Privacy Policy from time to time. We will notify you of any changes by posting the new Privacy Policy on this page.
19	1	Eyewind may use and disclose to Eyewind’s partners and contractors the collected non-personal data for purposes of analyzing usage of the Services, investigate, prevent or take action regarding unauthorized use of the services to further develop the Services and other Eyewind services and products.
20	1	We encourage law enforcement agencies to contact us via email (legal@bigo.tv) regarding the availability of user information before serving the formal request.
21	0	Personalisation and Service Cookies: These cookies are used to remember your computer or mobile device when you visit a website. They remember your registration and login details and your settings and preferences such as language and region. They are also used to ensure you don’t have to login every time you use your browser to comment on articles and to ensure interactive services work effectively. Personalization cookies are also used to recommend content we think you'll be interested in by serving and measuring relevant advertising, based on what you've looked at before.
22	0	8.1. Can you ask us to stop processing your personal information? You have the right to ask us not to process your personal information for marketing purposes. You can change your email settings to unsubscribe from email communications, opt-out from push notifications by turning them off at device level through your settings. Our Cookie Policy also details how you can deactivate certain types of cookies and other ad tracking technologies that may be used in providing certain Nordeus Services.
23	0	We and our advertising networks and their partners may use cookies and similar technologies, such as mobile “SDK”, to provide and personalize our Services and to provide targeted advertisements. Some of these technologies can synchronize behavior across different mobile apps, devices, and websites so that advertisements can be tailored to your interests. This process is called personalized advertisement experience. In addition, we and certain advertising networks may access your inventory of installed apps to avoid advertising already installed apps. If you'd like to opt-out from having advertisements personalized in this way on your mobile device, please see below ‘Opt-out of targeted advertising’.
24	1	Types of Personal Information we collect
25	0	These terms apply to the use of games and other products developed by Kwalee Limited (‘Kwalee’ / ‘we’ / ‘us’). Our registered office is at Kwalee Ltd (c/o Ricardo), Midlands Technical Centre, Southam Road, Radford Semele, Leamington Spa CV31 1FQ. We are a company registered in England, with company number 07648078.
26	1	Based on consent: provide you with marketing information about products or services that you request from us and which we feel may interest you where you have asked us to do so; and send you push notifications on mobile devices where you have agreed to this. 
27	1	We have set out below a description of the ways in which we use your information, the legal bases we rely upon to do so and provide opt-out, where applicable:To provide and maintain our Services, recognize you when you return to our apps, and to perform essential business operation, our legal basis for processing is performance of a contract with you which you entered into with us when you download our Services and accept our End User License Agreement.
28	0	To any other person with your consent to the disclosure.
29	0	Maintain the security of our products and services
30	0	Who serves these cookies
31	1	other usage to enable the Company to run a smooth operation
32	1	information from device sensors, such as accelerometers, gyroscopes, compasses, microphones, and whether you have headphones connected.
33	1	hen you access the game TENS Tournament we use a third party provider Skillz Inc (“Skillz”) based in the United States that enables players to participate in online real-money based competitions. Skillz hosts player accounts, collects fees and distributes pay outs. It collects first and last name, shipping address, phone number, and Social Security Number, credit card information or Paypal user name to participate in cash tournaments and withdraw funds. This information is used to verify your identity when you withdraw cash from your account and by us and certain third party service providers to monitor for fraudulent activity and verify that you can legally participate in cash tournaments and withdraw funds.. For more information, please see Skillz privacy policy at http://corp.skillz.com/privacy-policy/.
34	0	The online advertising industry also provides websites from which you may opt-out of receiving targeted ads from our data partners and our other advertising partners that participate in self-regulatory programs. You can access these, and also learn more about targeted advertising and consumer choice and privacy, at http://www.networkadvertising.org/managing/opt_out.asp, or http://www.youronlinechoices.eu/ and http://www.aboutads.info/choices/.
35	0	This Privacy Policy covers HOLLA's treatment of Personal Information that we collect while you are using the App and the Service. This policy does not apply to the practices of third parties that HOLLA does not own or control, including but not limited to third party services you access through HOLLA, the App or the Service, or to individuals that HOLLA does not employ or manage. As our Service integrates with third party sites, such as Facebook, and other sites and social networks, we assume that you are already aware of the privacy policies of those other sites and networks when using our App and/or our Service and when you allow us to interact with these sites and networks on your behalf.
36	0	The information that you transfer, send and/or share through the Application, the Services and/or the Site may be intercepted, collected, used and disclosed by third parties. We are not responsible for any interception, collection, use and disclosure of your information by any third party. Please choose other ways to transfer and share if you have higher security requirements
37	0	We may amend, at our discretion, any portion of this Privacy Policy at any time by posting the amended Privacy Policy on Netmarble branded Website(s) and/or within our Applications. You will be deemed to have accepted such amendments by continuing to use our Services. Except as otherwise stated, any such amendments will be automatically effective 30 calendar days after they are initially posted.
38	0	Required by law: In addition, we may disclose your information to the extent that we are required to do so by law (which may include to government bodies and law enforcement agencies); in connection with any legal proceedings or prospective legal proceedings; and in order to establish, exercise or defend our legal rights (including providing information to others for the purposes of fraud prevention).
39	1	User content e.g. photos, screenshots, comments, and other materials that you create on the service may also be collected. Your photos and videos may be captured by other users on the service, and those content can be stored and used by us or third party services (e.g. Facebook) for content moderation and community safety monitoring purposes. You can change third party sharing options in our product settings or writing to us directly.
40	0	DoubleUGames, Inc.(“DoubleUGames”, “We”, or “us”), established under the laws of the Republic of Korea (“Korea”), with address at 16F Gangnam Finance Center (Yeoksam dong), 152 Teheran-ro, Gangnam-gu, Seoul, Korea and business registration number 214-88-96326, recognizes that privacy is important to the visitors, users, customers and other parties (collectively or individually “Users”), who use our games, applications, forums and/or websites (collectively, the “Services”).
41	0	Information About Cookies. Cookies and other tracking technologies like web beacons, pixel stags, and SDKs (collectively, “Cookies”) are identifiers we transfer to your device that allow us to recognize your device and tell us how and when pages and features in our Services are visited and by how many people. You may be able to change the preferences on your device to prevent or limit your device’s acceptance of cookies, but this may prevent you from taking advantage of some of our features.
42	0	We may update this Privacy Policy from time to time in response to changing legal, technical or business developments. When we update our Privacy Policy, we will take appropriate measures to inform you, consistent with the significance of the changes we make.  We will obtain your consent to any material Privacy Policy changes if and where this is required by applicable data protection laws.
43	1	Device information: we will receive and record information about the device you use, such as the device model, operating system version, device settings, unique device identifier and other information on software and hardware features, and information about the location of the device, such as the IP address, GPS location and Wi-Fi access point, Bluetooth, base station and other sensor information that can provide relevant information, based on the specific permissions that you grant when installing and using the software.
44	1	User Communication with Netmarble. If you contact us or respond to messages and communications that we send to you, we may keep a record of that correspondence.
45	1	We may collect information that other users provide about you when they use our services. For example, if another user allows us to collect information from their device phonebook—and you’re one of that user’s contacts—we may combine the information we collect from that user’s phonebook with other information we have collected about you. We may also obtain information from other companies that are owned or operated by us, or any other third-party sources, and combine that with the information we collect through our services.
46	1	"""Personal Information"" is information that identifies you or another person. Personal Information may include the following:.information you make available to us when you open a SHAREit account or use another service (Twitter，Facebook), such as your name, telephone number, email address;2.any information included in your publicly visible Application profile, which may include your profile ID, name and photo;3.information you make available to us and/or public via your use of Application and/or another service which you use to open your SHAREit account;.information made available by another user about you via their use of Application; and"
47	1	Skillz may process information (including Skillz Information) to understand how users use our TENS Tournament, and to compile statistical reports regarding that activity, as well as understanding how users progress, and their current status within the game. This processing is necessary for us and Skillz to pursue our legitimate interests of improving the game and increasing the amount of revenue generated via in-app purchases.
48	0	Except as described in this statement, personal information you provide isn’t transferred to third parties without your consent. We occasionally may hire other companies to provide limited services on our behalf, such as providing customer support. We only provide those companies with the personal information they need to deliver the service. They’re required to maintain the confidentiality of that information and are prohibited from using that information for any other purpose.
49	0	We store your information for as long as needed to provide you with our services. We may store information longer, but only in a way that it cannot be tracked back to you. We delete the information as soon as we do not need it for the purposes as described in this Privacy Policy and in any event no later than five (5) years after your interaction with all of our Games has ceased.
50	0	Subject to limitations in applicable law, you are entitled to object to or request the restriction of processing of your Personal Data, and to request access to, rectification, erasure and portability of your own Personal Data.
