	sentiment	review
1838	0	To customize your experience
913	1	You represent and warrant that all information you provide to us is true and correct, and relates to you and not to any other person.  
4888	0	We sometimes use capitalized terms in this Privacy Policy; if they’re not defined here, they’re defined in our Terms of Service. PageBites, Inc. is the legal name for imo, however, we will use imo throughout this Privacy Policy when referring to the imo communication service that we provide through applications that we offer on various mobile operating systems and on Windows and Mac personal computer operating systems (collectively, the “Service”).
1591	0	However, we may share what Personal Information we do have if required to do so by law or in the good faith belief that such action is appropriate: (a) to enforce our terms and conditions; (b) to protect our operations or those of any of our affiliates; (c) to protect our rights, privacy, safety or property, and/or that of our affiliates, you or others; and (d) to allow us to pursue available remedies or limit the damages that we may sustain.
2169	1	Erasure, Access, and Others
5363	0	Such authorization information is sensitive information. Refusal to provide such information will not only disenable you to use corresponding authorization functions, but also affect your normal use of other App functions.
4743	0	n the event that data provided by a Member when he/she signed up for membership must be retained or is permitted to be retained under an applicable law or regulation even after the purpose of collection/use is achieved, the data will be transferred to a separate database (if the data is provided in the form of a paper document, a separate filing cabinet), and destroyed after being retained for a certain period under the Company’s internal policy and other relevant regulations (see Article 4 (Retention/use period of personal data) above).
1641	0	We are conducting surveys in order to improve our services and you may freely decide whether you would like to help us or not.
4918	0	marketing partners (in particular, social media networks, marketing agencies, email delivery services)
2787	1	If you are concerned about the accuracy of personally identifiable information maintained by Camel Games or wish to review, access, amend or correct it, or would like your personally identifiable information removed from Camel Games's records or otherwise deactivated, please contact us here. We may decline requests that are unreasonably repetitive, require disproportionate technical effort, jeopardize the privacy of others, or are extremely impractical.
4883	0	generate aggregate, non-identifying information about how people use the Services
3199	0	We may analyze, evaluate, and/or aggregate this information to help us understand your interests and the interests of our other users, to analyze trends, to optimize your user experience and improve the Service.
4126	1	Withdrawal of Consent: If we are processing your Personal Data based on your consent (as indicated at the time of collection of such data), you have the right to withdraw your consent at any time. Please note, however, that if you exercise this right, you may have to then provide express consent on a case-by-case basis for the use or disclosure of certain of your Personal Data, if such use or disclosure is necessary to enable you to utilize some or all of our Services.
2287	1	You may also deactivate your account. To deactivate your account, please email us indicating in English that you would like to deactivate your account and you will receive the deactivation instructions from us. You will need to complete the steps in order to deactivate your account. Once your account is deactivated, you will not be able to restore your account again and your data on LIKE will be erased after certain period of time (usually within 24 months).
1332	1	If you sign up for a Medium account, you may at any time request an export of your personal information from the Settings page.
4722	0	3. Information we collect about you
3537	1	Access and control over most Personal Data in the Game may readily available through the profile editing tools on the webpage or the gaming platforms. End Users may modify or delete any or all of their profile information at any time by logging into their accounts. Information will be updated as soon as possible. End Users who wish to deactivate their Game account may do so in their accounts on the webpage or the gaming platforms. Removed information may persist in backup copies for a reasonable period of time but will not be generally available to other End Users or visitors of the Game. You cannot however remove communications made in any communication features in the Game, which might have been shared with other End Users (for example sending personal messages to another End Users).
1509	0	Site features and services These cookies and local storage devices provide the functionality that our Topface members enjoy, such as uploading of photographs, chats, instant messaging, your account settings and your request to have Topface as your homepage or your search preference. We also use cookies to help provide experiences, such as links to other social media sites, social plugins and video content, including making it easier for you to share content between Topface with your other favourite social networks.
36	1	If you wish to use any of the rights described below, you may contact us at any time by emailing us at support@alexandragames.com.
3812	0	Your information may also be stored and process in any country in which we provide service to due to server facilities and third-party service teams. By using our service, you consent to any such transfer of information outside of your country.
5372	0	This Application uses identifiers for mobile devices (including Android Advertising ID or Advertising Identifier for iOS, respectively) and technologies similar to cookies to run the Firebase Analytics service.
3483	0	Cross-promotion: cross promoting our Apps and services, meaning we may promote one of our Apps while you are playing a different App of ours.
1868	0	We have carried out balancing tests for all the data processing we have done based on our legitimate interests, which we have described above. You can obtain information on any of our balancing tests by contacting us using the details set out later in this statement.
452	0	service providers helping us to manage our newsletter and communication with you,
4628	0	Customer Service
