	sentiment	review
1968	1	Who does A Thinking Ape share my personal information with?
1800	1	We do not sell your personal information to third parties. We will not share your or your child’s information with third parties other than the necessary service providers as indicated below.
930	0	Irrespective of the above, Lima Sky may still retain some of the data to the extent such retention is necessary to resolve disputes, enforce Lima Sky user agreements, and comply with technical and legal requirements and constraints related to the security, integrity, and operation of Services.
2657	1	Share with our service providers and partners
3758	1	Provided that the disclosure conforms to the laws, in cases where it is mandatory to ensure the safety and security of the users or the public or the other items which have public significance, it may disclose the personal information.
925	1	We do not rent or sell your Personal Data in personally identifiable form to anyone. We may share your Personal Data with third parties as described in this section:Data that's been de-identified: We may de-identify your Personal Data so that you are not identified as an individual, and provide that information to our partners. We may also provide aggregate usage information to our partners (or allow partners to collect that information from you), who may use such information to understand how often and in what ways people use our Services, so that they, too, can provide you with an optimal online experience. However, we never disclose aggregate usage or de-identified information to a partner (or allow a partner to collect such information) in a manner that would identify you as an individual person.
621	1	7.1 We may from time to time use third party advertisers or sponsors on our Service. In the event that we do so we will not disclose identifiable information about individuals but we may provide them with aggregated information about our users. We may also use such aggregated information to help advertisers reach the kind of audience they want to target (for example, men in London). We may make use of the personal information we have collected from you to enable us to comply with our advertisers' and sponsors' wishes by displaying their advertisement to that target audience.
4800	0	If you are accessing Our Games via Facebook, you may update, amend or delete Your information on Facebook, that we may receive from Facebook, by amending Your Facebook account information in accordance with Facebook’s terms and conditions of use.
5380	0	We process Personal Data for the purposes set out in this Privacy Policy, as described above. Our legal basis to process personal data includes processing that is: necessary for the performance of the contract with you (for example, to provide you with the services you request and to identify and authenticate you so you may use the Sites); necessary to comply with legal requirements (for example, to comply with applicable accounting rules and to make mandatory disclosures to law enforcement); necessary for our legitimate interests (for example, to manage our relationship with you, to ensure the security of our services, to communicate with you about our products and services); and based on consent by our customers (for example, to place certain cookies and to share your information with third parties for advertising purposes).
4271	0	I value your trust in providing us your Personal Information, thus we are striving to use commercially acceptable means of protecting it. But remember that no method of transmission over the internet, or method of electronic storage is 100% secure and reliable, and I cannot guarantee its absolute security.
3083	1	Twilio USA Transmitted via network during sign-ups Emails listed in Article 1 above
1877	1	We do not use the facial tracking and mapping information to identify individuals or to target advertising. We do not share facial tracking and mapping information with third parties.
2449	0	any other information that the third party shares with us
5106	0	Research and development
1789	0	5.3 As an international company, CXZH.LTD provides company information to our local branch offices all over the world to further aid in providing products and services. It is possible that the personal information you submit to us may be transmitted to these other CXZH.LTD branch offices. For example, the personal information provided by a European customer at the time of product registration may be transmitted to a server in the USA and then transmitted to one or more servers of our branch offices in Europe. Meanwhile, in some countries or regions, our subcontractors may handle your information in the process of helping CXZH.LTD provide products and services to you and/or in handling information collection, transmission, storage and processing for us.
