	sentiment	review
2828	1	You will be liable to us for all orders or transactions placed by use of your user ID and password, even if such use might be wrongful. We will not be liable to you for any loss that you may incur as a result of misuse of your user ID and password, and we accept no liability resulting from its unauthorised use, whether fraudulent or otherwise.
2647	0	In principle, once the personal data’s purpose of collection/use is achieved, the Company destroys the subject personal data without delay in accordance with the respective retention/use period. The procedure, method, and time for destroying personal data are as follows:Procedures for destroying personal data
1176	0	If you are from the European Economic Area (EEA), Aeria Canada Studio Inc. legal basis for collecting and using the personal information described in this Privacy Policy depends on the Personal Data we collect and the specific context in which we collect it.
2081	1	We employ reasonable security measures to protect Your information from access by unauthorized persons and against unlawful processing, accidental loss, destruction and damage. These measures include: 1) personal data encryption; 2) technical measures in order to ensure the ongoing confidentiality; 3) personal data back-up to restore access to personal data following an incident; 4) test the effectiveness of the measures on the regular basis. Besides, We use the system of authentication, restrict the access to Our servers that store Your personal data, and provide the appropriate update of Our software necessary for securing Your personal data. We may update the list of such measures from time to time, provided that such updates and modifications do not result in the degradation of the overall security of personal data processing.
1855	0	We may also collect information that your browser sends whenever you visit our Service or when you access the Service by or through a mobile device (“Usage Data”).
1274	0	Personal information may include: (1) your name, (2) SN Website user identification number, or (3) email address.
4290	1	You are responsible for all orders, and for the accuracy of all information, sent via the internet using your user ID, password or any other personal identification used to identify you on the Services.
4527	1	Eyewind follows generally accepted industry standards and maintains reasonable safeguards to attempt to ensure the security, integrity and privacy of the information in Eyewind’s possession. Only those persons with a need to process your personal data in connection with the fulfillment of their tasks in accordance with the purposes of this Privacy Policy and for the purposes of performing technical maintenance, have access to your personal data in Eyewind’s possession. Personal data collected by Eyewind is stored in secure operating environments that are not available to the public. To prevent unauthorized on-line access to personal data, Eyewind maintains personal data behind a firewall-protected server. However, no system can be 100% secure and there is the possibility that despite Eyewind’s reasonable efforts, there could be unauthorized access to your personal data. By using the Services, you assume this risk.
23	1	Lima Sky follows generally accepted industry standards and maintains reasonable safeguards to attempt to ensure the security, integrity, and privacy of the information in Lima Sky’s possession. Data collected by Lima Sky is stored in secure operating environments that are not available to the public. To prevent unauthorized on-line access to data, Lima Sky maintains data behind a firewall-protected server. However, no security or encryption method can be guaranteed to protect information from hackers or human error.
4143	1	How do we protect your information?
4547	0	. As part of maintaining and administrating the Services we use the information to analyze user activity and ensure that rules and terms of use for the Services are not violated.
2874	0	Automatically Collected Information
1283	1	We value your trust in providing us your Personal Information, thus we are striving to use commercially acceptable means of protecting it. But remember that no method of transmission over the internet, or method of electronic storage is 100% secure and reliable, and we cannot guarantee its absolute security.
3622	0	"The information you enter into your user profile (your ""Profile"") may be shared with your contacts through the Service. You control your Profile and you can access and modify your Profile from the Service at any time. In addition, if you register with the Service using your Facebook account, we may store your Facebook ID and corresponding token on our servers and, if you give us your express consent, we will have access to and may collect certain information that you make available on Facebook (for example, your first and last names, email address, profile picture, your friend lists and birthdays). Your Profile is available to other users of the Service who are connected to you on the Service. In addition, unless you opt-out (which you may do at any time in the Service), your Profile is discoverable by other users, including by way of example in listings of contacts that will include your proximity to other users. You may also block out any user in your contact list from discovering your Profile at any time. In addition, the Service may pre-populate your Profile with certain information such as your name and Facebook profile picture if you or your friends have logged onto the Service using Facebook."
2010	0	We collect data you give us voluntarily (for example, when you choose your problem areas or send us an email). We also may receive data about you from third parties (for example, when you sign in via Facebook). Finally, we collect data automatically (for example, your IP address).
1755	1	4.1 We have adopted reasonably practicable security protection measures that are in line with universally adopted solutions in the industry to protect the security of personal information provided by you, and prevent the unauthorized access, public disclosure, use, modification, damage or loss of personal information. For example, data exchanged between your browser and the server is encrypted with the SSL (Secure Socket Layer) protocol; we will use encryption techniques to improve the security of personal information; we will use trusted protection mechanisms to prevent malicious attacks on personal information; we will deploy an access control mechanism, and exercise our best efforts to ensure that only authorized personnel have access to personal information; and we will organize security and privacy protection training programs to enhance employees' awareness of the importance of protecting personal information.
1095	1	Your account is protected by a password for your privacy and security. If you access your account via a third party site or service, you may have additional or different sign-on protections via that third party site or service. You must prevent unauthorized access to your account and Personal Data by selecting and protecting your password and/or other sign-on mechanism appropriately and limiting access to your device by signing off after you have finished accessing your account.
2428	0	If you communicate with us via our support section or via email, we may collect your email address voluntarily submitted.
440	0	If you are unsure about your rights or are concerned about how your information may be processed, you should contact your national data protection regulator.
4513	1	All gameplay services provided to you by PikPok are hosted using various Amazon Web Services (AWS). AWS is a global leader in cloud technology and has robust data protection, privacy policies and processes in place. For more information, see https://aws.amazon.com/security/ and https://aws.amazon.com/compliance/data-privacy-faq/.
