	sentiment	review
3418	1	Your username and password
771	1	We receive and store any information you knowingly provide to us. For example, through the registration process and/or through your account settings, we may collect Personal Data such as your email address and third-party account credentials (for example, your log-in credentials for Facebook or other third party sites).
1966	0	Ad network providers
1390	1	"In order to use the app, we will ask you to enter your current weight and height, target weight, fitness level, problem body area, and food preferences. You will be able to use the App even if you do not give this data to us. If you do not want to provide us this information, please tap on the ""Next Step"" button on the screens where we ask this data. We also automatically collect from your device language settings, IP address, time zone, type and model of a device, device settings, operating system, Internet service provider, mobile carrier, hardware ID, Facebook ID, and other unique identifiers (such as IDFA and AAID). We need this data to provide our services, analyze how our customers use the app, to serve ads."
3252	1	Usage Information. To help us understand how you use our Services and to help us improve them, we automatically receive information about your interactions with our Services, like the pages or other content you view, the searches you conduct, any content you post, and the dates and times of your visits.
773	1	Riders and delivery recipients may use the Uber app without enabling Uber to collect their location information. However, this may affect the functionality available on your Uber app. For example, if you do not enable Uber to collect your location information, you will have to manually enter your pickup address. In addition, location information will be collected from the driver during your trip and linked to your account, even if you have not enabled Uber to collect your location information.
2163	0	Your account, and registration information are protected so that only you can access your account. All personally identifiable information that we collect about you is stored in limited-access servers. The Service has technical, administrative, and physical security measures in place to protect against the loss and misuse of the information which is under our control. While we are committed to implementing reasonable and appropriate safeguards to protect your information against foreseeable risks, no computer system or information can ever be fully protected against any possible risk, and we cannot guarantee that unauthorized third parties will not be able to circumvent those safeguards, or access and/or use your personal information for improper purposes.
316	1	Information You Provide to Us:Narvii collects Personal Data about you when you provide such information directly to us, when third parties such as our business partners or service providers provide us with Personal Data about you, or when Personal Data about you is automatically collected in connection with your use of our Services.
4396	1	All Data requested by this Application is mandatory and failure to provide this Data may make it impossible for this Application to provide its services. In cases where this Application specifically states that some Data is not mandatory, Users are free not to communicate this Data without any consequences on the availability or the functioning of the service.
4146	0	8. Rights related to automated decision making including profiling: there are several rights in this area where processing carried out on a solely automated basis results in a decision which has legal or significant effects for the individual. In these circumstances your rights include the right to ensure that there is human intervention in the decision-making process.
3022	1	When You download CarX Technologies mobile application by or through a Third Party Platform You allow us to access and/or collect certain information from your Third Party Platform profile/account (for example, Your name, surname, e-mail, etc.). You additionally allow us to access information contained in cookies placed on your device by the Third Party Platform as permitted by the terms of your agreement and privacy settings with the Third Party Platform. We may share this information with the Third Party Platform for their use as permitted by the terms of your agreement and privacy settings with the Third Party Platform.
313	0	To run our service weﾡﾯll have to use computers all over the world. This means your information might be transferred to the US, Australia, Europe and anywhere else the service is operated.
3002	1	Please note that device information, log information, etc., cannot be independently used to identify information on a specific natural person. If we combine such non-personal information with other information to identify a specific natural person, or use the same in combination with personal information, such non-personal information shall be deemed to be personal information during the period in which the information is used in combination with personal information, and unless authorized by you or otherwise provided for by laws and legislations, we will anonymize or de-identify such personal information.
2097	0	Your (hereinafter referred to as “You” or “Your”) privacy is top priority of Free Puzzle Games Team (hereinafter referred to as the “team”, “we”, “us” or “our”). We appreciate that you put your trust in us when you provide us with your information and we do not take this lightly.
1483	0	Provide our products, which includes updating, securing, and troubleshooting, as well as providing support. It also includes sharing data, when it is required to provide the service or carry out the transactions you request.
4477	1	Personal Information We Collect Automatically When You Use the Services
2382	1	Information We Collect
3652	0	You may enable/disable location sharing with your driver at any time through the Privacy Settings menu in the Uber app. You may use the Uber app if you have not enabled location sharing, but it may be more difficult for your driver to locate you.
4837	1	In addition, the Application may collect certain information automatically, including, but not limited to, the type of mobile device you use, your mobile devices unique device ID, the IP address of your mobile device, your mobile operating system, the type of mobile Internet browsers you use, and information about the way you use the Application. 
2981	0	We reserve the right at our discretion to make changes to this Privacy Policy. You may review updates to our Privacy Policy at any time via links on our website. You agree to accept electronic communications and/or postings of a revised Privacy Policy on the Service and our website, and you agree that such electronic communications or postings constitute notice to you of the Privacy Policy. We reserve the right to modify this policy from time to time, so please review it frequently.
5178	0	We do not share PII with our third-parties for their marketing or promotional uses. Our intention is to keep HOMER Learning free from any of this sort of direct advertising.
4807	1	Content created when using the service. It includes creating or uploading different kinds of content to the App, including without limitation, photos, text, messages, posts, html, URLs, pictures, video and other content (collectively, “User Contributed Content”), and the metadata that is provided with the content. As you upload User Contributed Content you should be mindful of your privacy as well as the privacy of others.
156	1	Collection from your mobile device photos or photo gallery
4284	1	Information about you collected from third parties
482	1	As is true with most websites, we gather certain information automatically and store it in log files. This information may include a unique identifier such as your Internet Protocol (IP) address and non-personal information such as your browser type, Internet Service Provider (ISP), referring/exit pages, operating system, date/time stamp, and/or clickstream data. We may combine this automatically collected log information with other information we collect about you.
4184	0	In the event that any information under our control is compromised as a result of a breach of security, Canva will take reasonable steps to investigate the situation and where appropriate, notify those individuals whose information may have been compromised and take other steps, in accordance with any applicable laws and regulations.
3072	0	Whenever you use our services, we aim to provide you with access to your personal information. If that information is wrong, we strive to give you ways to update it quickly or to delete it – unless we have to keep that information for legitimate business or legal purposes.
4761	0	This website is not intended for anyone under the age of 16 years old. If you are under 16, you may not register with, or use this website.
3450	0	391B ORCHARD ROAD #15-05
3592	1	The following information is collected by or on behalf of Uber:Information you provide
315	0	We share personal data with third parties that we hire to provide services or perform business functions on our behalf, based on our instructions. We share your personal information with the following types of service providers:• cloud storage providers• data analytics providers• measurement partners• marketing partners (in particular, social media networks, marketing agencies, email delivery services)
2429	1	Certain usage related information regarding your use and interaction with the Software and the Service, such as how frequency you use them, your search queries and the time and date of your searches.
2187	1	We may collect information about your subscription orders, such as purchase items, subscription time, order status, payment time, order ID. But your payment details provided is collected by third-party payment processor, not by us. Therefore, you shall check and review the Privacy Policy of the third-party payment processor before you provide any information.
2326	0	We are the controller of the personal information collected. We only collect, use, store and transfer (“process”) your personal information in accordance with applicable data protection legislation, including but not limited to, the (EU) General Data Protection Regulation (2016/679) (“GDPR”) and applicable national data protection legislation.
4286	1	When you use our Apps, we may collect additional information by using device identifiers that permit identification of your device. Such information is used for advertising and analytics purposes.
2740	0	In connection with our provision of the Platform and its connected services, we may transfer your personal information to countries outside of the EEA, including to countries that may not provide the same level of data protection as your home country such as the United States and China. We take appropriate steps to ensure that recipients of your personal information are bound to duties of confidentiality and we implement appropriate measures to ensure your personal information will remain protected in accordance with this Privacy Policy, such as standard contractual clauses. A copy of those clauses can be requested from DataProtection@service.alibaba.com.
1732	0	Besides, If Eyewind becomes involved in a merger, acquisition, or any form of sale of some or all of its assets, we will provide notice before personal information is transferred and becomes subject to a different privacy policy.
3173	1	Usage Information. We collect information about your activity through our services. We may collect information including but not limited to:- How you interact with the services, such as which filters you view or the number of times apply to discover.
1125	1	Automatic log updates.Automated data collection does not lead to profiling that significantly affects GOGO LIVE users, but simply gives GOGO LIVE a clear picture of its users and influencers
